SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ROML," BE"," 20-Apr-2021"," 92.00"," 90.50"," 95.00"," 87.40"," 90.70"," 90.70"," 89.77"," 4716"," 4.23"," 68"," -"," -"
RUCHINFRA," BE"," 20-Apr-2021"," 5.70"," 5.80"," 5.80"," 5.60"," 5.65"," 5.60"," 5.64"," 91055"," 5.13"," 191"," -"," -"
S&SPOWER," BE"," 20-Apr-2021"," 19.80"," 19.80"," 19.80"," 19.00"," 19.80"," 19.80"," 19.41"," 94"," 0.02"," 7"," -"," -"
SABEVENTS," BE"," 20-Apr-2021"," 1.15"," 1.10"," 1.20"," 1.10"," 1.10"," 1.15"," 1.11"," 1231"," 0.01"," 8"," -"," -"
SANGAMIND," BE"," 20-Apr-2021"," 77.85"," 79.95"," 79.95"," 76.85"," 79.00"," 79.00"," 79.18"," 27407"," 21.70"," 31"," -"," -"
SANGHVIFOR," BE"," 20-Apr-2021"," 17.80"," 18.35"," 18.60"," 16.95"," 16.95"," 16.95"," 17.41"," 12320"," 2.15"," 62"," -"," -"
SANWARIA," BZ"," 20-Apr-2021"," 0.65"," 0.65"," 0.70"," 0.60"," 0.65"," 0.65"," 0.66"," 402006"," 2.66"," 151"," -"," -"
SARVESHWAR," SM"," 20-Apr-2021"," 29.45"," 28.00"," 28.00"," 28.00"," 28.00"," 28.00"," 28.00"," 22400"," 6.27"," 12"," 22400"," 100.00"
SATINPP1," E1"," 20-Apr-2021"," 59.90"," 57.10"," 61.35"," 57.10"," 61.25"," 61.25"," 58.07"," 2569"," 1.49"," 33"," 2382"," 92.72"
SCAPDVR," BE"," 20-Apr-2021"," 2.10"," 2.20"," 2.20"," 2.20"," 2.20"," 2.20"," 2.20"," 72560"," 1.60"," 68"," -"," -"
SCHAND," BE"," 20-Apr-2021"," 96.10"," 97.75"," 100.90"," 96.10"," 98.45"," 98.90"," 100.09"," 75403"," 75.47"," 669"," -"," -"
SECL," SZ"," 20-Apr-2021"," 9.80"," 9.80"," 10.20"," 9.60"," 10.20"," 9.90"," 9.88"," 12000"," 1.19"," 4"," 9000"," 75.00"
SECURCRED," SM"," 20-Apr-2021"," 12.15"," 12.75"," 12.75"," 12.75"," 12.75"," 12.75"," 12.75"," 1200"," 0.15"," 2"," 1200"," 100.00"
SEPOWER," BE"," 20-Apr-2021"," 3.70"," 3.65"," 3.75"," 3.55"," 3.55"," 3.55"," 3.56"," 7425"," 0.26"," 46"," -"," -"
SETUINFRA," BE"," 20-Apr-2021"," 0.70"," 0.70"," 0.75"," 0.65"," 0.70"," 0.70"," 0.70"," 52045"," 0.36"," 52"," -"," -"
SGBAPR28I," GB"," 20-Apr-2021"," 4754.96"," 4775.00"," 4775.00"," 4726.05"," 4735.00"," 4737.20"," 4738.53"," 1353"," 64.11"," 170"," 1334"," 98.60"
SGBAUG24," GB"," 20-Apr-2021"," 4850.62"," 4850.00"," 4944.00"," 4801.00"," 4900.00"," 4900.00"," 4888.07"," 93"," 4.55"," 21"," 64"," 68.82"
SGBAUG28V," GB"," 20-Apr-2021"," 4809.36"," 4824.05"," 4850.00"," 4801.05"," 4811.26"," 4813.38"," 4821.64"," 818"," 39.44"," 110"," 674"," 82.40"
SGBDC27VII," GB"," 20-Apr-2021"," 4749.00"," 4770.00"," 4800.00"," 4740.00"," 4740.00"," 4740.00"," 4773.11"," 19"," 0.91"," 7"," 19"," 100.00"
SGBDEC25," GB"," 20-Apr-2021"," 4651.01"," 5069.00"," 5069.00"," 5069.00"," 5069.00"," 5069.00"," 5069.00"," 2"," 0.10"," 1"," 2"," 100.00"
SGBDEC2513," GB"," 20-Apr-2021"," 4700.00"," 4790.00"," 4790.00"," 4721.00"," 4721.01"," 4721.01"," 4755.50"," 4"," 0.19"," 4"," 3"," 75.00"
SGBFEB24," GB"," 20-Apr-2021"," 4742.10"," 4742.10"," 4750.00"," 4716.00"," 4745.00"," 4745.00"," 4737.59"," 451"," 21.37"," 30"," 437"," 96.90"
SGBFEB27," GB"," 20-Apr-2021"," 4785.00"," 4785.00"," 4785.00"," 4700.00"," 4701.00"," 4703.13"," 4704.47"," 77"," 3.62"," 18"," 50"," 64.94"
SGBFEB28IX," GB"," 20-Apr-2021"," 4800.00"," 4701.00"," 4702.00"," 4701.00"," 4702.00"," 4702.00"," 4701.50"," 2"," 0.09"," 2"," 2"," 100.00"
SGBFEB29XI," GB"," 20-Apr-2021"," 4789.64"," 4789.64"," 4789.64"," 4760.00"," 4771.00"," 4771.00"," 4765.37"," 10"," 0.48"," 8"," 8"," 80.00"
SGBJ28VIII," GB"," 20-Apr-2021"," 4740.00"," 4765.00"," 4765.00"," 4701.00"," 4760.00"," 4760.00"," 4757.38"," 13"," 0.62"," 3"," 13"," 100.00"
SGBJAN27," GB"," 20-Apr-2021"," 5048.00"," 4706.00"," 5048.00"," 4701.00"," 4726.11"," 4726.11"," 4789.14"," 64"," 3.07"," 25"," 2"," 3.13"
SGBJAN29IX," GB"," 20-Apr-2021"," 4787.50"," 4850.00"," 4850.00"," 4771.00"," 4780.00"," 4787.08"," 4800.70"," 107"," 5.14"," 25"," 86"," 80.37"
SGBJAN29X," GB"," 20-Apr-2021"," 4799.85"," 4800.00"," 4800.00"," 4786.00"," 4787.00"," 4787.00"," 4795.90"," 20"," 0.96"," 11"," 20"," 100.00"
SGBJUL25," GB"," 20-Apr-2021"," 4775.00"," 4750.00"," 4771.98"," 4749.00"," 4771.98"," 4771.98"," 4751.79"," 112"," 5.32"," 4"," 112"," 100.00"
SGBJUL27," GB"," 20-Apr-2021"," 4850.00"," 4849.00"," 4849.00"," 4849.00"," 4849.00"," 4849.00"," 4849.00"," 2"," 0.10"," 2"," 2"," 100.00"
SGBJUL28IV," GB"," 20-Apr-2021"," 4797.08"," 4795.00"," 4795.00"," 4751.00"," 4761.00"," 4767.55"," 4772.75"," 209"," 9.98"," 41"," 156"," 74.64"
SGBJUN28," GB"," 20-Apr-2021"," 4769.00"," 4779.00"," 4790.00"," 4750.00"," 4750.01"," 4762.96"," 4772.00"," 119"," 5.68"," 29"," 75"," 63.03"
SGBMAR24," GB"," 20-Apr-2021"," 4780.00"," 4780.00"," 4795.00"," 4700.00"," 4700.00"," 4705.58"," 4722.83"," 153"," 7.23"," 14"," 153"," 100.00"
SGBMAR25," GB"," 20-Apr-2021"," 4769.63"," 4713.00"," 4775.00"," 4713.00"," 4775.00"," 4775.00"," 4756.75"," 16"," 0.76"," 5"," 14"," 87.50"
SGBMAR28X," GB"," 20-Apr-2021"," 4721.00"," 4750.00"," 4776.00"," 4730.80"," 4731.15"," 4731.15"," 4773.05"," 108"," 5.15"," 16"," 101"," 93.52"
SGBMAY25," GB"," 20-Apr-2021"," 4798.92"," 4783.00"," 5000.00"," 4740.00"," 4848.98"," 4848.98"," 4857.87"," 60"," 2.91"," 14"," 50"," 83.33"
SGBMAY26," GB"," 20-Apr-2021"," 4741.10"," 4704.00"," 4764.00"," 4704.00"," 4740.00"," 4740.00"," 4758.82"," 106"," 5.04"," 8"," 106"," 100.00"
SGBMAY28," GB"," 20-Apr-2021"," 4764.92"," 4784.95"," 4785.00"," 4734.00"," 4759.00"," 4755.95"," 4760.51"," 185"," 8.81"," 41"," 171"," 92.43"
SGBMR29XII," GB"," 20-Apr-2021"," 4738.23"," 4732.00"," 4775.00"," 4726.00"," 4750.00"," 4748.02"," 4751.37"," 820"," 38.96"," 169"," 708"," 86.34"
SGBN28VIII," GB"," 20-Apr-2021"," 4775.01"," 4780.00"," 4890.00"," 4776.01"," 4825.00"," 4825.00"," 4823.27"," 104"," 5.02"," 16"," 21"," 20.19"
SGBNOV23," GB"," 20-Apr-2021"," 4790.00"," 4760.00"," 4810.00"," 4760.00"," 4810.00"," 4808.00"," 4778.34"," 132"," 6.31"," 17"," 131"," 99.24"
SGBNOV24," GB"," 20-Apr-2021"," 4738.08"," 4710.00"," 4749.90"," 4710.00"," 4747.47"," 4747.47"," 4740.11"," 297"," 14.08"," 33"," 295"," 99.33"
